date,attribute,value,pipeline
2018-08-21 00:00:00,IVYHILL,0.0,transco
2018-08-22 00:00:00,IVYHILL,0.0,transco
2018-08-23 00:00:00,IVYHILL,0.0,transco
2018-08-24 00:00:00,IVYHILL,0.0,transco
2018-08-25 00:00:00,IVYHILL,0.0,transco
2018-08-26 00:00:00,IVYHILL,0.0,transco
2018-08-27 00:00:00,IVYHILL,0.0,transco
2018-08-28 00:00:00,IVYHILL,0.0,transco
2018-08-29 00:00:00,IVYHILL,0.0,transco
2018-08-30 00:00:00,IVYHILL,0.0,transco
2018-08-31 00:00:00,IVYHILL,0.0,transco
2017-09-01 00:00:00,BTU,1030.0,transco
2017-09-02 00:00:00,BTU,1029.0,transco
2017-09-03 00:00:00,BTU,1030.0,transco
2017-09-04 00:00:00,BTU,1029.0,transco
2017-09-05 00:00:00,BTU,1029.0,transco
2017-09-06 00:00:00,BTU,1029.0,transco
2017-09-07 00:00:00,BTU,1029.0,transco
2017-09-08 00:00:00,BTU,1029.0,transco
2017-09-09 00:00:00,BTU,1029.0,transco
2017-09-10 00:00:00,BTU,1029.0,transco
2017-09-11 00:00:00,BTU,1029.0,transco
2017-09-12 00:00:00,BTU,1029.0,transco
2017-09-13 00:00:00,BTU,1029.0,transco
2017-09-14 00:00:00,BTU,1029.0,transco
2017-09-15 00:00:00,BTU,1029.0,transco
2017-09-16 00:00:00,BTU,1030.0,transco
2017-09-17 00:00:00,BTU,1029.0,transco
2017-09-18 00:00:00,BTU,1030.0,transco
2017-09-19 00:00:00,BTU,1030.0,transco
2017-09-20 00:00:00,BTU,1030.0,transco
2017-09-21 00:00:00,BTU,1030.0,transco
2017-09-22 00:00:00,BTU,1030.0,transco
2017-09-23 00:00:00,BTU,1029.0,transco
2017-09-24 00:00:00,BTU,1029.0,transco
2017-09-25 00:00:00,BTU,1029.0,transco
2017-09-26 00:00:00,BTU,1030.0,transco
2017-09-27 00:00:00,BTU,1030.0,transco
2017-09-28 00:00:00,BTU,1030.0,transco
2017-09-29 00:00:00,BTU,1030.0,transco
2017-09-30 00:00:00,BTU,1030.0,transco
2017-10-01 00:00:00,BTU,1030.0,transco
2017-10-02 00:00:00,BTU,1029.0,transco
2017-10-03 00:00:00,BTU,1030.0,transco
2017-10-04 00:00:00,BTU,1030.0,transco
2017-10-05 00:00:00,BTU,1030.0,transco
2017-10-06 00:00:00,BTU,1030.0,transco
2017-10-07 00:00:00,BTU,1030.0,transco
2017-10-08 00:00:00,BTU,1030.0,transco
2017-10-09 00:00:00,BTU,1030.0,transco
2017-10-10 00:00:00,BTU,1030.0,transco
2017-10-11 00:00:00,BTU,1030.0,transco
2017-10-12 00:00:00,BTU,1030.0,transco
2017-10-13 00:00:00,BTU,1030.0,transco
2017-10-14 00:00:00,BTU,1030.0,transco
2017-10-15 00:00:00,BTU,1030.0,transco
2017-10-16 00:00:00,BTU,1030.0,transco
2017-10-17 00:00:00,BTU,1030.0,transco
2017-10-18 00:00:00,BTU,1030.0,transco
2017-10-19 00:00:00,BTU,1030.0,transco
2017-10-20 00:00:00,BTU,1030.0,transco
2017-10-21 00:00:00,BTU,1029.0,transco
2017-10-22 00:00:00,BTU,1030.0,transco
2017-10-23 00:00:00,BTU,1030.0,transco
2017-10-24 00:00:00,BTU,1062.0,transco
2017-10-25 00:00:00,BTU,1030.0,transco
2017-10-26 00:00:00,BTU,1030.0,transco
2017-10-27 00:00:00,BTU,1030.0,transco
2017-10-28 00:00:00,BTU,1030.0,transco
2017-10-29 00:00:00,BTU,1030.0,transco
2017-10-30 00:00:00,BTU,1030.0,transco
2017-10-31 00:00:00,BTU,1030.0,transco
2017-11-01 00:00:00,BTU,1030.0,transco
2017-11-02 00:00:00,BTU,1030.0,transco
2017-11-03 00:00:00,BTU,1030.0,transco
2017-11-04 00:00:00,BTU,1029.0,transco
2017-11-05 00:00:00,BTU,1030.0,transco
2017-11-06 00:00:00,BTU,1030.0,transco
2017-11-07 00:00:00,BTU,1030.0,transco
2017-11-08 00:00:00,BTU,1030.0,transco
2017-11-09 00:00:00,BTU,1030.0,transco
2017-11-10 00:00:00,BTU,1030.0,transco
2017-11-11 00:00:00,BTU,1030.0,transco
2017-11-12 00:00:00,BTU,1031.0,transco
2017-11-13 00:00:00,BTU,1031.0,transco
2017-11-14 00:00:00,BTU,1031.0,transco
2017-11-15 00:00:00,BTU,1031.0,transco
2017-11-16 00:00:00,BTU,1031.0,transco
2017-11-17 00:00:00,BTU,1030.0,transco
2017-11-18 00:00:00,BTU,1030.0,transco
2017-11-19 00:00:00,BTU,1030.0,transco
2017-11-20 00:00:00,BTU,1030.0,transco
2017-11-21 00:00:00,BTU,1030.0,transco
2017-11-22 00:00:00,BTU,1030.0,transco
2017-11-23 00:00:00,BTU,1030.0,transco
2017-11-24 00:00:00,BTU,1030.0,transco
2017-11-25 00:00:00,BTU,1030.0,transco
2017-11-26 00:00:00,BTU,1030.0,transco
2017-11-27 00:00:00,BTU,1030.0,transco
2017-11-28 00:00:00,BTU,1029.0,transco
2017-11-29 00:00:00,BTU,1029.0,transco
2017-11-30 00:00:00,BTU,1030.0,transco
2017-12-01 00:00:00,BTU,1029.0,transco
2017-12-02 00:00:00,BTU,1030.0,transco
2017-12-03 00:00:00,BTU,1053.0,transco
2017-12-04 00:00:00,BTU,1052.0,transco
2017-12-05 00:00:00,BTU,1038.0,transco
2017-12-06 00:00:00,BTU,1030.0,transco
2017-12-07 00:00:00,BTU,1030.0,transco
2017-12-08 00:00:00,BTU,1030.0,transco
2017-12-09 00:00:00,BTU,1034.0,transco
2017-12-10 00:00:00,BTU,1030.0,transco
2017-12-11 00:00:00,BTU,1031.0,transco
2017-12-12 00:00:00,BTU,1031.0,transco
2017-12-13 00:00:00,BTU,1031.0,transco
2017-12-14 00:00:00,BTU,1044.0,transco
2017-12-15 00:00:00,BTU,1051.0,transco
2017-12-16 00:00:00,BTU,1057.0,transco
2017-12-17 00:00:00,BTU,1056.0,transco
2017-12-18 00:00:00,BTU,1039.0,transco
2017-12-19 00:00:00,BTU,1031.0,transco
2017-12-20 00:00:00,BTU,1045.0,transco
2017-12-21 00:00:00,BTU,1051.0,transco
2017-12-22 00:00:00,BTU,1053.0,transco
2017-12-23 00:00:00,BTU,1055.0,transco
2017-12-24 00:00:00,BTU,1055.0,transco
2017-12-25 00:00:00,BTU,1054.0,transco
2017-12-26 00:00:00,BTU,1040.0,transco
2017-12-27 00:00:00,BTU,1039.0,transco
2017-12-28 00:00:00,BTU,1048.0,transco
2017-12-29 00:00:00,BTU,1054.0,transco
2017-12-30 00:00:00,BTU,1053.0,transco
2017-12-31 00:00:00,BTU,1051.0,transco
2018-01-01 00:00:00,BTU,1048.0,transco
2018-01-02 00:00:00,BTU,1048.0,transco
2018-01-03 00:00:00,BTU,1050.0,transco
2018-01-04 00:00:00,BTU,1033.0,transco
2018-01-05 00:00:00,BTU,1031.0,transco
2018-01-06 00:00:00,BTU,1032.0,transco
2018-01-07 00:00:00,BTU,1032.0,transco
2018-01-08 00:00:00,BTU,1043.0,transco
2018-01-09 00:00:00,BTU,1035.0,transco
2018-01-10 00:00:00,BTU,1052.0,transco
2018-01-11 00:00:00,BTU,1054.0,transco
2018-01-12 00:00:00,BTU,1057.0,transco
2018-01-13 00:00:00,BTU,1048.0,transco
2018-01-14 00:00:00,BTU,1040.0,transco
2018-01-15 00:00:00,BTU,1035.0,transco
2018-01-16 00:00:00,BTU,1052.0,transco
2018-01-17 00:00:00,BTU,1049.0,transco
2018-01-18 00:00:00,BTU,1050.0,transco
2018-01-19 00:00:00,BTU,1049.0,transco
2018-01-20 00:00:00,BTU,1045.0,transco
2018-01-21 00:00:00,BTU,1032.0,transco
2018-01-22 00:00:00,BTU,1030.0,transco
2018-01-23 00:00:00,BTU,1029.0,transco
2018-01-24 00:00:00,BTU,1029.0,transco
2018-01-25 00:00:00,BTU,1029.0,transco
2018-01-26 00:00:00,BTU,1030.0,transco
2018-01-27 00:00:00,BTU,1051.0,transco
2018-01-28 00:00:00,BTU,1030.0,transco
2018-01-29 00:00:00,BTU,1029.0,transco
2018-01-30 00:00:00,BTU,1029.0,transco
2018-01-31 00:00:00,BTU,1038.0,transco
2018-02-01 00:00:00,BTU,1051.0,transco
2018-02-02 00:00:00,BTU,1048.0,transco
2018-02-03 00:00:00,BTU,1052.0,transco
2018-02-04 00:00:00,BTU,1050.0,transco
2018-02-05 00:00:00,BTU,1052.0,transco
2018-02-06 00:00:00,BTU,1054.0,transco
2018-02-07 00:00:00,BTU,1051.0,transco
2018-02-08 00:00:00,BTU,1050.0,transco
2018-02-09 00:00:00,BTU,1044.0,transco
2018-02-10 00:00:00,BTU,1042.0,transco
2018-02-11 00:00:00,BTU,1050.0,transco
2018-02-12 00:00:00,BTU,1048.0,transco
2018-02-13 00:00:00,BTU,1044.0,transco
2018-02-14 00:00:00,BTU,1046.0,transco
2018-02-15 00:00:00,BTU,1030.0,transco
2018-02-16 00:00:00,BTU,1029.0,transco
2018-02-17 00:00:00,BTU,1029.0,transco
2018-02-18 00:00:00,BTU,1030.0,transco
2018-02-19 00:00:00,BTU,1030.0,transco
2018-02-20 00:00:00,BTU,1030.0,transco
2018-02-21 00:00:00,BTU,1030.0,transco
2018-02-22 00:00:00,BTU,1030.0,transco
2018-02-23 00:00:00,BTU,1029.0,transco
2018-02-24 00:00:00,BTU,1029.0,transco
2018-02-25 00:00:00,BTU,1029.0,transco
2018-02-26 00:00:00,BTU,1029.0,transco
2018-02-27 00:00:00,BTU,1029.0,transco
2018-02-28 00:00:00,BTU,1030.0,transco
2018-03-01 00:00:00,BTU,1029.0,transco
2018-03-02 00:00:00,BTU,1029.0,transco
2018-03-03 00:00:00,BTU,1032.0,transco
2018-03-04 00:00:00,BTU,1032.0,transco
2018-03-05 00:00:00,BTU,1033.0,transco
2018-03-06 00:00:00,BTU,1036.0,transco
2018-03-07 00:00:00,BTU,1032.0,transco
2018-03-08 00:00:00,BTU,1030.0,transco
2018-03-09 00:00:00,BTU,1034.0,transco
2018-03-10 00:00:00,BTU,1031.0,transco
2018-03-11 00:00:00,BTU,1030.0,transco
2018-03-12 00:00:00,BTU,1030.0,transco
2018-03-13 00:00:00,BTU,1030.0,transco
2018-03-14 00:00:00,BTU,1030.0,transco
2018-03-15 00:00:00,BTU,1037.0,transco
2018-03-16 00:00:00,BTU,1047.0,transco
2018-03-17 00:00:00,BTU,1030.0,transco
2018-03-18 00:00:00,BTU,1049.0,transco
2018-03-19 00:00:00,BTU,1049.0,transco
2018-03-20 00:00:00,BTU,1052.0,transco
2018-03-21 00:00:00,BTU,1047.0,transco
2018-03-22 00:00:00,BTU,1045.0,transco
2018-03-23 00:00:00,BTU,1030.0,transco
2018-03-24 00:00:00,BTU,1049.0,transco
2018-03-25 00:00:00,BTU,1038.0,transco
2018-03-26 00:00:00,BTU,1031.0,transco
2018-03-27 00:00:00,BTU,1030.0,transco
2018-03-28 00:00:00,BTU,1034.0,transco
2018-03-29 00:00:00,BTU,1030.0,transco
2018-03-30 00:00:00,BTU,1030.0,transco
2018-03-31 00:00:00,BTU,1029.0,transco
2018-04-01 00:00:00,BTU,1029.0,transco
2018-04-02 00:00:00,BTU,1028.0,transco
2018-04-03 00:00:00,BTU,1030.0,transco
2018-04-04 00:00:00,BTU,1031.0,transco
2018-04-05 00:00:00,BTU,1031.0,transco
2018-04-06 00:00:00,BTU,1030.0,transco
2018-04-07 00:00:00,BTU,1037.0,transco
2018-04-08 00:00:00,BTU,1038.0,transco
2018-04-09 00:00:00,BTU,1034.0,transco
2018-04-10 00:00:00,BTU,1030.0,transco
2018-04-11 00:00:00,BTU,1030.0,transco
2018-04-12 00:00:00,BTU,1029.0,transco
2018-04-13 00:00:00,BTU,1042.0,transco
2018-04-14 00:00:00,BTU,1039.0,transco
2018-04-15 00:00:00,BTU,1029.0,transco
2018-04-16 00:00:00,BTU,1031.0,transco
2018-04-17 00:00:00,BTU,1037.0,transco
2018-04-18 00:00:00,BTU,1030.0,transco
2018-04-19 00:00:00,BTU,1032.0,transco
2018-04-20 00:00:00,BTU,1034.0,transco
2018-04-21 00:00:00,BTU,1034.0,transco
2018-04-22 00:00:00,BTU,1030.0,transco
2018-04-23 00:00:00,BTU,1030.0,transco
2018-04-24 00:00:00,BTU,1030.0,transco
2018-04-25 00:00:00,BTU,1030.0,transco
2018-04-26 00:00:00,BTU,1030.0,transco
2018-04-27 00:00:00,BTU,1029.0,transco
2018-04-28 00:00:00,BTU,1029.0,transco
2018-04-29 00:00:00,BTU,1030.0,transco
2018-04-30 00:00:00,BTU,1029.0,transco
2018-05-01 00:00:00,BTU,1029.0,transco
2018-05-02 00:00:00,BTU,1030.0,transco
2018-05-03 00:00:00,BTU,1030.0,transco
2018-05-04 00:00:00,BTU,1030.0,transco
2018-05-05 00:00:00,BTU,1030.0,transco
2018-05-06 00:00:00,BTU,1030.0,transco
2018-05-07 00:00:00,BTU,1029.0,transco
2018-05-08 00:00:00,BTU,1029.0,transco
2018-05-09 00:00:00,BTU,1030.0,transco
2018-05-10 00:00:00,BTU,1030.0,transco
2018-05-11 00:00:00,BTU,1029.0,transco
2018-05-12 00:00:00,BTU,1030.0,transco
2018-05-13 00:00:00,BTU,1030.0,transco
2018-05-14 00:00:00,BTU,1030.0,transco
2018-05-15 00:00:00,BTU,1029.0,transco
2018-05-16 00:00:00,BTU,1030.0,transco
2018-05-17 00:00:00,BTU,1029.0,transco
2018-05-18 00:00:00,BTU,1029.0,transco
2018-05-19 00:00:00,BTU,1029.0,transco
2018-05-20 00:00:00,BTU,1029.0,transco
2018-05-21 00:00:00,BTU,1030.0,transco
2018-05-22 00:00:00,BTU,1029.0,transco
2018-05-23 00:00:00,BTU,1029.0,transco
2018-05-24 00:00:00,BTU,1029.0,transco
2018-05-25 00:00:00,BTU,1029.0,transco
2018-05-26 00:00:00,BTU,1029.0,transco
2018-05-27 00:00:00,BTU,1029.0,transco
2018-05-28 00:00:00,BTU,1029.0,transco
2018-05-29 00:00:00,BTU,1030.0,transco
2018-05-30 00:00:00,BTU,1030.0,transco
2018-05-31 00:00:00,BTU,1030.0,transco
2018-06-01 00:00:00,BTU,1029.0,transco
2018-06-02 00:00:00,BTU,1028.0,transco
2018-06-03 00:00:00,BTU,1029.0,transco
2018-06-04 00:00:00,BTU,1028.0,transco
2018-06-05 00:00:00,BTU,1028.0,transco
2018-06-06 00:00:00,BTU,1029.0,transco
2018-06-07 00:00:00,BTU,1029.0,transco
2018-06-08 00:00:00,BTU,1029.0,transco
2018-06-09 00:00:00,BTU,1029.0,transco
2018-06-10 00:00:00,BTU,1029.0,transco
2018-06-11 00:00:00,BTU,1029.0,transco
2018-06-12 00:00:00,BTU,1029.0,transco
2018-06-13 00:00:00,BTU,1029.0,transco
2018-06-14 00:00:00,BTU,1029.0,transco
2018-06-15 00:00:00,BTU,1029.0,transco
2018-06-16 00:00:00,BTU,1029.0,transco
2018-06-17 00:00:00,BTU,1029.0,transco
2018-06-18 00:00:00,BTU,1029.0,transco
2018-06-19 00:00:00,BTU,1029.0,transco
2018-06-20 00:00:00,BTU,1030.0,transco
2018-06-21 00:00:00,BTU,1030.0,transco
2018-06-22 00:00:00,BTU,1030.0,transco
2018-06-23 00:00:00,BTU,1029.0,transco
2018-06-24 00:00:00,BTU,1029.0,transco
2018-06-25 00:00:00,BTU,1029.0,transco
2018-06-26 00:00:00,BTU,1029.0,transco
2018-06-27 00:00:00,BTU,1029.0,transco
2018-06-28 00:00:00,BTU,1029.0,transco
2018-06-29 00:00:00,BTU,1029.0,transco
2018-06-30 00:00:00,BTU,1028.0,transco
2018-07-01 00:00:00,BTU,1028.0,transco
2018-07-02 00:00:00,BTU,1028.0,transco
2018-07-03 00:00:00,BTU,1028.0,transco
2018-07-04 00:00:00,BTU,1029.0,transco
2018-07-05 00:00:00,BTU,1029.0,transco
2018-07-06 00:00:00,BTU,1029.0,transco
2018-07-07 00:00:00,BTU,1029.0,transco
2018-07-08 00:00:00,BTU,1029.0,transco
2018-07-09 00:00:00,BTU,1029.0,transco
2018-07-10 00:00:00,BTU,1029.0,transco
2018-07-11 00:00:00,BTU,1029.0,transco
2018-07-12 00:00:00,BTU,1029.0,transco
2018-07-13 00:00:00,BTU,1036.0,transco
2018-07-14 00:00:00,BTU,1029.0,transco
2018-07-15 00:00:00,BTU,1029.0,transco
2018-07-16 00:00:00,BTU,1029.0,transco
2018-07-17 00:00:00,BTU,1029.0,transco
2018-07-18 00:00:00,BTU,1029.0,transco
2018-07-19 00:00:00,BTU,1030.0,transco
2018-07-20 00:00:00,BTU,1029.0,transco
2018-07-21 00:00:00,BTU,1029.0,transco
2018-07-22 00:00:00,BTU,1029.0,transco
2018-07-23 00:00:00,BTU,1029.0,transco
2018-07-24 00:00:00,BTU,1029.0,transco
2018-07-25 00:00:00,BTU,1029.0,transco
2018-07-26 00:00:00,BTU,1029.0,transco
2018-07-27 00:00:00,BTU,1029.0,transco
2018-07-28 00:00:00,BTU,1029.0,transco
2018-07-29 00:00:00,BTU,1029.0,transco
2018-07-30 00:00:00,BTU,1029.0,transco
2018-07-31 00:00:00,BTU,1029.0,transco
2018-08-01 00:00:00,BTU,1029.0,transco
2018-08-02 00:00:00,BTU,1029.0,transco
2018-08-03 00:00:00,BTU,1029.0,transco
2018-08-04 00:00:00,BTU,1029.0,transco
2018-08-05 00:00:00,BTU,1029.0,transco
2018-08-06 00:00:00,BTU,1029.0,transco
2018-08-07 00:00:00,BTU,1029.0,transco
2018-08-08 00:00:00,BTU,1029.0,transco
2018-08-09 00:00:00,BTU,1029.0,transco
2018-08-10 00:00:00,BTU,1029.0,transco
2018-08-11 00:00:00,BTU,1029.0,transco
2018-08-12 00:00:00,BTU,1029.0,transco
2018-08-13 00:00:00,BTU,1029.0,transco
2018-08-14 00:00:00,BTU,1029.0,transco
2018-08-15 00:00:00,BTU,1029.0,transco
2018-08-16 00:00:00,BTU,1029.0,transco
2018-08-17 00:00:00,BTU,1029.0,transco
2018-08-18 00:00:00,BTU,1029.0,transco
2018-08-19 00:00:00,BTU,1029.0,transco
2018-08-20 00:00:00,BTU,1029.0,transco
2018-08-21 00:00:00,BTU,1029.0,transco
2018-08-22 00:00:00,BTU,1029.0,transco
2018-08-23 00:00:00,BTU,1029.0,transco
2018-08-24 00:00:00,BTU,1029.0,transco
2018-08-25 00:00:00,BTU,1028.0,transco
2018-08-26 00:00:00,BTU,1029.0,transco
2018-08-27 00:00:00,BTU,1029.0,transco
2018-08-28 00:00:00,BTU,1029.0,transco
2018-08-29 00:00:00,BTU,1029.0,transco
2018-08-30 00:00:00,BTU,1029.0,transco
2018-08-31 00:00:00,BTU,1029.0,transco
